batter,runs,balls_faced,fours,sixes,dot_balls,strike_rate,boundary_runs,boundary_percentage,dot_ball_percentage
A Badoni,215,141,23,9,54,152.48,146,67.91,38.3
A Kamboj,58,36,3,4,12,161.11,36,62.07,33.33
A Mhatre,201,112,20,12,44,179.46,152,75.62,39.29
A Nortje,0,1,0,0,1,0.0,0,,100.0
A Raghuvanshi,422,287,40,19,113,147.04,274,64.93,39.37
AA Kulkarni,17,25,1,0,14,68.0,4,23.53,56.0
AF Milne,2,2,0,0,1,100.0,0,0.0,50.0
AJ Hosein,5,3,0,0,0,166.67,0,0.0,0.0
AK Markram,231,166,20,11,60,139.16,146,63.2,36.14
AM Ghazanfar,2,3,0,0,1,66.67,0,0.0,33.33
AM Rahane,335,248,25,18,101,135.08,208,62.09,40.73
AR Patel,173,131,16,6,58,132.06,100,57.8,44.27
AS Roy,52,39,3,2,14,133.33,24,46.15,35.9
Abdul Samad,116,88,10,5,38,131.82,70,60.34,43.18
Abhishek Sharma,563,275,50,43,118,204.73,458,81.35,42.91
Abishek Porel,108,88,15,1,41,122.73,66,61.11,46.59
Akshat Raghuwanshi,29,25,1,1,9,116.0,10,34.48,36.0
Aniket Verma,79,54,6,5,23,146.3,54,68.35,42.59
Arjun Tendulkar,5,5,0,0,1,100.0,0,0.0,20.0
Arshad Khan,23,11,1,2,3,209.09,16,69.57,27.27
Arshdeep Singh,1,1,0,0,0,100.0,0,0.0,0.0
Ashok Sharma,1,4,0,0,4,25.0,0,0.0,100.0
Ashutosh Sharma,171,92,15,12,38,185.87,132,77.19,41.3
Ashwani Kumar,1,6,0,0,5,16.67,0,0.0,83.33
Auqib Nabi,14,3,2,1,1,466.67,14,100.0,33.33
Avesh Khan,6,6,1,0,4,100.0,4,66.67,66.67
Azmatullah Omarzai,52,27,3,5,11,192.59,42,80.77,40.74
B Kumar,34,26,3,1,12,130.77,18,52.94,46.15
B Sai Sudharsan,722,454,75,30,166,159.03,480,66.48,36.56
Brijesh Sharma,2,4,0,0,2,50.0,0,0.0,50.0
C Bosch,50,31,5,2,10,161.29,32,64.0,32.26
C Connolly,491,299,43,32,125,164.21,364,74.13,41.81
C Green,322,220,22,17,78,146.36,190,59.01,35.45
CV Varun,5,6,1,0,4,83.33,4,80.0,66.67
D Brevis,151,118,8,10,54,127.97,92,60.93,45.76
D Ferreira,317,177,26,23,68,179.1,242,76.34,38.42
D Padikkal,464,275,49,24,94,168.73,340,73.28,34.18
DA Miller,211,137,15,14,54,154.01,144,68.25,39.42
DA Payne,6,5,0,0,1,120.0,0,0.0,20.0
DL Chahar,25,19,3,1,10,131.58,18,72.0,52.63
