bowler,runs_conceded,legal_balls,dot_balls,wickets,economy,bowling_strike_rate,dot_ball_percentage,bowling_average
A Badoni,14,6,0,0,14.0,inf,0.0,inf
A Kamboj,530,302,117,21,10.53,14.38,38.74,25.24
A Nortje,39,24,7,0,9.75,inf,29.17,inf
AF Milne,41,20,3,0,12.3,inf,15.0,inf
AJ Hosein,198,148,58,8,8.03,18.5,39.19,24.75
AK Markram,83,36,8,0,13.83,inf,22.22,inf
AM Ghazanfar,389,233,70,15,10.02,15.53,30.04,25.93
AR Patel,360,264,82,11,8.18,24.0,31.06,32.73
AS Roy,261,163,53,9,9.61,18.11,32.52,29.0
Abdul Samad,6,1,0,0,36.0,inf,0.0,inf
Abhinandan Singh,122,58,15,3,12.62,19.33,25.86,40.67
Abhishek Sharma,49,29,6,0,10.14,inf,20.69,inf
Akash Singh,80,42,18,4,11.43,10.5,42.86,20.0
Arjun Tendulkar,36,24,6,1,9.0,24.0,25.0,36.0
Arshad Khan,172,104,44,6,9.92,17.33,42.31,28.67
Arshdeep Singh,541,318,109,14,10.21,22.71,34.28,38.64
Ashok Sharma,228,126,53,6,10.86,21.0,42.06,38.0
Ashwani Kumar,102,60,22,6,10.2,10.0,36.67,17.0
Auqib Nabi,149,78,26,0,11.46,inf,33.33,inf
Avesh Khan,273,148,47,6,11.07,24.67,31.76,45.5
Azmatullah Omarzai,103,66,23,3,9.36,22.0,34.85,34.33
B Kumar,501,378,152,28,7.95,13.5,40.21,17.89
B Muzarabani,75,42,13,4,10.71,10.5,30.95,18.75
BJ Dwarshuis,51,24,6,1,12.75,24.0,25.0,51.0
Brijesh Sharma,450,273,86,14,9.89,19.5,31.5,32.14
C Bosch,195,121,46,12,9.67,10.08,38.02,16.25
C Green,234,132,47,7,10.64,18.86,35.61,33.43
CV Varun,360,246,80,11,8.78,22.36,32.52,32.73
D Ferreira,41,18,2,1,13.67,18.0,11.11,41.0
D Madushanka,36,24,8,1,9.0,24.0,33.33,36.0
DA Payne,70,30,5,2,14.0,15.0,16.67,35.0
DL Chahar,265,153,58,8,10.39,19.12,37.91,33.12
DS Rathi,397,234,56,5,10.18,46.8,23.93,79.4
E Malinga,507,326,117,20,9.33,16.3,35.89,25.35
GF Linde,55,37,10,1,8.92,37.0,27.03,55.0
Gurjapneet Singh,233,151,46,4,9.26,37.75,30.46,58.25
HH Pandya,259,136,41,4,11.43,34.0,30.15,64.75
HV Patel,148,82,16,0,10.83,inf,19.51,inf
Harpreet Brar,60,48,16,2,7.5,24.0,33.33,30.0
Harsh Dubey,228,132,38,8,10.36,16.5,28.79,28.5
J Overton,249,168,60,14,8.89,12.0,35.71,17.79
JA Duffy,263,144,57,9,10.96,16.0,39.58,29.22
JC Archer,559,360,158,25,9.32,14.4,43.89,22.36
JD Unadkat,140,77,23,4,10.91,19.25,29.87,35.0
JJ Bumrah,410,294,111,4,8.37,73.5,37.76,102.5
JO Holder,290,230,94,17,7.57,13.53,40.87,17.06
JR Hazlewood,494,309,126,15,9.59,20.6,40.78,32.93
K Khejroliya,31,12,3,0,15.5,inf,25.0,inf
K Rabada,626,388,172,29,9.68,13.38,44.33,21.59
KA Jamieson,90,42,11,2,12.86,21.0,26.19,45.0
KH Pandya,425,303,88,14,8.42,21.64,29.04,30.36
KK Ahmed,146,101,43,2,8.67,50.5,42.57,73.0
Kartik Tyagi,498,306,113,18,9.76,17.0,36.93,27.67
Krish Bhagat,63,36,15,0,10.5,inf,41.67,inf
Kuldeep Yadav,381,222,61,10,10.3,22.2,27.48,38.1
L Ngidi,340,248,96,13,8.23,19.08,38.71,26.15
LH Ferguson,141,66,20,1,12.82,66.0,30.3,141.0
M Jansen,483,284,86,9,10.2,31.56,30.28,53.67
M Markande,76,30,5,0,15.2,inf,16.67,inf
M Pathirana,9,8,4,0,6.75,inf,50.0,inf
M Prasidh Krishna,407,234,79,16,10.44,14.62,33.76,25.44
M Siddharth,145,90,26,6,9.67,15.0,28.89,24.17
M Tiwari,87,60,20,4,8.7,15.0,33.33,21.75
MA Starc,224,132,53,11,10.18,12.0,40.15,20.36
MD Shanaka,60,36,8,1,10.0,36.0,22.22,60.0
MJ Henry,130,60,10,2,13.0,30.0,16.67,65.0
MJ Santner,125,84,32,5,8.93,16.8,38.1,25.0
MJ Suthar,68,36,13,2,11.33,18.0,36.11,34.0
MP Stoinis,98,47,10,2,12.51,23.5,21.28,49.0
MP Yadav,182,96,36,0,11.38,inf,37.5,inf
MW Short,39,19,5,0,12.32,inf,26.32,inf
Mohammed Shami,459,306,132,12,9.0,25.5,43.14,38.25
Mohammed Siraj,562,372,172,19,9.06,19.58,46.24,29.58
Mohsin Khan,228,168,69,11,8.14,15.27,41.07,20.73
Mukesh Choudhary,249,168,72,8,8.89,21.0,42.86,31.12
Mukesh Kumar,353,188,62,6,11.27,31.33,32.98,58.83
N Burger,440,261,110,14,10.11,18.64,42.15,31.43
N Rana,55,24,7,0,13.75,inf,29.17,inf
Navdeep Saini,37,18,6,0,12.33,inf,33.33,inf
Nithish Kumar Reddy,323,186,57,8,10.42,23.25,30.65,40.38
Noor Ahmad,428,306,94,13,8.39,23.54,30.72,32.92
PJ Cummins,307,192,70,8,9.59,24.0,36.46,38.38
PP Hinge,305,156,62,14,11.73,11.14,39.74,21.79
PR Veer,25,12,5,0,12.5,inf,41.67,inf
PVD Chameera,18,12,5,0,9.0,inf,41.67,inf
