match_id,innings,batting_team,over,over_runs,legal_balls,wickets,over_run_rate,wicket_over,high_scoring_over,momentum
1527674,1,Sunrisers Hyderabad,0,7,6,0,7.0,0,0,Medium
1527674,1,Sunrisers Hyderabad,1,10,6,0,10.0,0,0,High
1527674,1,Sunrisers Hyderabad,2,6,6,2,6.0,1,0,Medium
1527674,1,Sunrisers Hyderabad,3,6,6,0,6.0,0,0,Medium
1527674,1,Sunrisers Hyderabad,4,4,6,1,4.0,1,0,Low
1527674,1,Sunrisers Hyderabad,5,16,6,0,16.0,0,1,Very High
1527674,1,Sunrisers Hyderabad,6,5,6,0,5.0,0,0,Low
1527674,1,Sunrisers Hyderabad,7,16,6,0,16.0,0,1,Very High
1527674,1,Sunrisers Hyderabad,8,9,6,0,9.0,0,0,Medium
1527674,1,Sunrisers Hyderabad,9,8,6,0,8.0,0,0,Medium
1527674,1,Sunrisers Hyderabad,10,5,6,0,5.0,0,0,Low
1527674,1,Sunrisers Hyderabad,11,13,6,0,13.0,0,0,High
1527674,1,Sunrisers Hyderabad,12,21,6,0,21.0,0,1,Very High
1527674,1,Sunrisers Hyderabad,13,9,6,1,9.0,1,0,Medium
1527674,1,Sunrisers Hyderabad,14,7,6,1,7.0,1,0,Medium
1527674,1,Sunrisers Hyderabad,15,13,6,1,13.0,1,0,High
1527674,1,Sunrisers Hyderabad,16,12,6,1,12.0,1,0,High
1527674,1,Sunrisers Hyderabad,17,8,6,1,8.0,1,0,Medium
1527674,1,Sunrisers Hyderabad,18,17,6,1,17.0,1,1,Very High
1527674,1,Sunrisers Hyderabad,19,9,6,0,9.0,0,0,Medium
1527674,2,Royal Challengers Bengaluru,0,9,6,0,9.0,0,0,Medium
1527674,2,Royal Challengers Bengaluru,1,12,6,1,12.0,1,0,High
1527674,2,Royal Challengers Bengaluru,2,12,6,0,12.0,0,0,High
1527674,2,Royal Challengers Bengaluru,3,18,6,0,18.0,0,1,Very High
1527674,2,Royal Challengers Bengaluru,4,16,6,0,16.0,0,1,Very High
1527674,2,Royal Challengers Bengaluru,5,9,6,0,9.0,0,0,Medium
1527674,2,Royal Challengers Bengaluru,6,13,6,0,13.0,0,0,High
1527674,2,Royal Challengers Bengaluru,7,10,6,0,10.0,0,0,High
1527674,2,Royal Challengers Bengaluru,8,12,6,1,12.0,1,0,High
1527674,2,Royal Challengers Bengaluru,9,15,6,0,15.0,0,1,Very High
1527674,2,Royal Challengers Bengaluru,10,14,6,0,14.0,0,0,High
1527674,2,Royal Challengers Bengaluru,11,22,6,0,22.0,0,1,Very High
1527674,2,Royal Challengers Bengaluru,12,2,6,2,2.0,1,0,Low
1527674,2,Royal Challengers Bengaluru,13,6,6,0,6.0,0,0,Medium
1527674,2,Royal Challengers Bengaluru,14,15,6,0,15.0,0,1,Very High
1527674,2,Royal Challengers Bengaluru,15,18,4,0,27.0,0,1,Very High
1527675,1,Kolkata Knight Riders,0,10,6,0,10.0,0,0,High
1527675,1,Kolkata Knight Riders,1,4,6,0,4.0,0,0,Low
1527675,1,Kolkata Knight Riders,2,17,6,0,17.0,0,1,Very High
1527675,1,Kolkata Knight Riders,3,26,6,0,26.0,0,1,Very High
1527675,1,Kolkata Knight Riders,4,11,6,0,11.0,0,0,High
1527675,1,Kolkata Knight Riders,5,10,6,1,10.0,1,0,High
1527675,1,Kolkata Knight Riders,6,16,6,0,16.0,0,1,Very High
1527675,1,Kolkata Knight Riders,7,7,6,0,7.0,0,0,Medium
1527675,1,Kolkata Knight Riders,8,9,6,1,9.0,1,0,Medium
1527675,1,Kolkata Knight Riders,9,10,6,0,10.0,0,0,High
1527675,1,Kolkata Knight Riders,10,11,6,0,11.0,0,0,High
1527675,1,Kolkata Knight Riders,11,5,6,0,5.0,0,0,Low
1527675,1,Kolkata Knight Riders,12,8,6,0,8.0,0,0,Medium
1527675,1,Kolkata Knight Riders,13,6,6,1,6.0,1,0,Medium
1527675,1,Kolkata Knight Riders,14,17,6,0,17.0,0,1,Very High
1527675,1,Kolkata Knight Riders,15,10,6,0,10.0,0,0,High
1527675,1,Kolkata Knight Riders,16,14,6,0,14.0,0,0,High
1527675,1,Kolkata Knight Riders,17,8,6,0,8.0,0,0,Medium
1527675,1,Kolkata Knight Riders,18,10,6,1,10.0,1,0,High
1527675,1,Kolkata Knight Riders,19,11,6,0,11.0,0,0,High
1527675,2,Mumbai Indians,0,6,6,0,6.0,0,0,Medium
1527675,2,Mumbai Indians,1,9,6,0,9.0,0,0,Medium
1527675,2,Mumbai Indians,2,19,6,0,19.0,0,1,Very High
1527675,2,Mumbai Indians,3,15,6,0,15.0,0,1,Very High
1527675,2,Mumbai Indians,4,15,6,0,15.0,0,1,Very High
1527675,2,Mumbai Indians,5,16,6,0,16.0,0,1,Very High
1527675,2,Mumbai Indians,6,8,6,0,8.0,0,0,Medium
1527675,2,Mumbai Indians,7,8,6,0,8.0,0,0,Medium
1527675,2,Mumbai Indians,8,14,6,0,14.0,0,0,High
1527675,2,Mumbai Indians,9,12,6,0,12.0,0,0,High
1527675,2,Mumbai Indians,10,13,6,0,13.0,0,0,High
1527675,2,Mumbai Indians,11,17,6,1,17.0,1,1,Very High
1527675,2,Mumbai Indians,12,11,6,0,11.0,0,0,High
1527675,2,Mumbai Indians,13,12,6,0,12.0,0,0,High
1527675,2,Mumbai Indians,14,8,6,1,8.0,1,0,Medium
1527675,2,Mumbai Indians,15,10,6,1,10.0,1,0,High
1527675,2,Mumbai Indians,16,8,6,0,8.0,0,0,Medium
1527675,2,Mumbai Indians,17,11,6,0,11.0,0,0,High
1527675,2,Mumbai Indians,18,8,6,1,8.0,1,0,Medium
1527675,2,Mumbai Indians,19,4,1,0,24.0,0,0,Low
1527676,1,Chennai Super Kings,0,7,6,0,7.0,0,0,Medium
1527676,1,Chennai Super Kings,1,7,6,1,7.0,1,0,Medium
1527676,1,Chennai Super Kings,2,5,6,1,5.0,1,0,Low
1527676,1,Chennai Super Kings,3,11,6,1,11.0,1,0,High
1527676,1,Chennai Super Kings,4,6,6,0,6.0,0,0,Medium
1527676,1,Chennai Super Kings,5,5,6,1,5.0,1,0,Low
1527676,1,Chennai Super Kings,6,10,6,0,10.0,0,0,High
1527676,1,Chennai Super Kings,7,6,6,2,6.0,1,0,Medium
1527676,1,Chennai Super Kings,8,5,6,0,5.0,0,0,Low
1527676,1,Chennai Super Kings,9,8,6,0,8.0,0,0,Medium
1527676,1,Chennai Super Kings,10,4,6,1,4.0,1,0,Low
1527676,1,Chennai Super Kings,11,5,6,0,5.0,0,0,Low
1527676,1,Chennai Super Kings,12,3,6,1,3.0,1,0,Low
1527676,1,Chennai Super Kings,13,4,6,0,4.0,0,0,Low
1527676,1,Chennai Super Kings,14,7,6,0,7.0,0,0,Medium
1527676,1,Chennai Super Kings,15,1,6,1,1.0,1,0,Low
1527676,1,Chennai Super Kings,16,5,6,0,5.0,0,0,Low
1527676,1,Chennai Super Kings,17,9,6,0,9.0,0,0,Medium
1527676,1,Chennai Super Kings,18,10,6,0,10.0,0,0,High
1527676,1,Chennai Super Kings,19,9,4,1,13.5,1,0,Medium
1527676,2,Rajasthan Royals,0,18,6,0,18.0,0,1,Very High
1527676,2,Rajasthan Royals,1,6,6,0,6.0,0,0,Medium
1527676,2,Rajasthan Royals,2,10,6,0,10.0,0,0,High
1527676,2,Rajasthan Royals,3,6,6,0,6.0,0,0,Medium
1527676,2,Rajasthan Royals,4,15,6,0,15.0,0,1,Very High
1527676,2,Rajasthan Royals,5,19,6,0,19.0,0,1,Very High
1527676,2,Rajasthan Royals,6,3,6,1,3.0,1,0,Low
1527676,2,Rajasthan Royals,7,14,6,0,14.0,0,0,High
1527676,2,Rajasthan Royals,8,9,6,1,9.0,1,0,Medium
1527676,2,Rajasthan Royals,9,6,6,0,6.0,0,0,Medium
1527676,2,Rajasthan Royals,10,9,6,0,9.0,0,0,Medium
1527676,2,Rajasthan Royals,11,12,6,0,12.0,0,0,High
1527676,2,Rajasthan Royals,12,1,1,0,6.0,0,0,Low
1527677,1,Gujarat Titans,0,9,6,0,9.0,0,0,Medium
1527677,1,Gujarat Titans,1,14,6,0,14.0,0,0,High
1527677,1,Gujarat Titans,2,12,6,0,12.0,0,0,High
1527677,1,Gujarat Titans,3,2,6,1,2.0,1,0,Low
1527677,1,Gujarat Titans,4,10,6,0,10.0,0,0,High
1527677,1,Gujarat Titans,5,7,6,0,7.0,0,0,Medium
1527677,1,Gujarat Titans,6,11,6,0,11.0,0,0,High
1527677,1,Gujarat Titans,7,5,6,0,5.0,0,0,Low
1527677,1,Gujarat Titans,8,6,6,0,6.0,0,0,Medium
1527677,1,Gujarat Titans,9,8,6,1,8.0,1,0,Medium
1527677,1,Gujarat Titans,10,5,6,0,5.0,0,0,Low
1527677,1,Gujarat Titans,11,13,6,0,13.0,0,0,High
1527677,1,Gujarat Titans,12,9,6,0,9.0,0,0,Medium
1527677,1,Gujarat Titans,13,8,6,1,8.0,1,0,Medium
1527677,1,Gujarat Titans,14,9,6,0,9.0,0,0,Medium
1527677,1,Gujarat Titans,15,3,6,1,3.0,1,0,Low
1527677,1,Gujarat Titans,16,6,6,0,6.0,0,0,Medium
1527677,1,Gujarat Titans,17,7,6,0,7.0,0,0,Medium
1527677,1,Gujarat Titans,18,6,6,2,6.0,1,0,Medium
1527677,1,Gujarat Titans,19,12,6,0,12.0,0,0,High
1527677,2,Punjab Kings,0,7,6,0,7.0,0,0,Medium
1527677,2,Punjab Kings,1,3,6,1,3.0,1,0,Low
1527677,2,Punjab Kings,2,8,6,0,8.0,0,0,Medium
1527677,2,Punjab Kings,3,19,6,0,19.0,0,1,Very High
1527677,2,Punjab Kings,4,13,6,0,13.0,0,0,High
1527677,2,Punjab Kings,5,5,6,0,5.0,0,0,Low
1527677,2,Punjab Kings,6,9,6,0,9.0,0,0,Medium
1527677,2,Punjab Kings,7,8,6,0,8.0,0,0,Medium
1527677,2,Punjab Kings,8,9,6,0,9.0,0,0,Medium
1527677,2,Punjab Kings,9,5,6,1,5.0,1,0,Low
1527677,2,Punjab Kings,10,13,6,0,13.0,0,0,High
1527677,2,Punjab Kings,11,11,6,0,11.0,0,0,High
1527677,2,Punjab Kings,12,3,6,1,3.0,1,0,Low
1527677,2,Punjab Kings,13,5,6,1,5.0,1,0,Low
1527677,2,Punjab Kings,14,3,6,2,3.0,1,0,Low
1527677,2,Punjab Kings,15,12,6,0,12.0,0,0,High
1527677,2,Punjab Kings,16,9,6,0,9.0,0,0,Medium
1527677,2,Punjab Kings,17,5,6,1,5.0,1,0,Low
1527677,2,Punjab Kings,18,14,6,0,14.0,0,0,High
1527677,2,Punjab Kings,19,4,1,0,24.0,0,0,Low
1527678,1,Lucknow Super Giants,0,6,6,0,6.0,0,0,Medium
1527678,1,Lucknow Super Giants,1,10,6,0,10.0,0,0,High
1527678,1,Lucknow Super Giants,2,3,6,1,3.0,1,0,Low
1527678,1,Lucknow Super Giants,3,6,6,0,6.0,0,0,Medium
1527678,1,Lucknow Super Giants,4,12,6,0,12.0,0,0,High
1527678,1,Lucknow Super Giants,5,11,6,1,11.0,1,0,High
1527678,1,Lucknow Super Giants,6,2,6,1,2.0,1,0,Low
1527678,1,Lucknow Super Giants,7,7,6,0,7.0,0,0,Medium
1527678,1,Lucknow Super Giants,8,8,6,1,8.0,1,0,Medium
1527678,1,Lucknow Super Giants,9,15,6,1,15.0,1,1,Very High
1527678,1,Lucknow Super Giants,10,4,6,0,4.0,0,0,Low
1527678,1,Lucknow Super Giants,11,12,6,0,12.0,0,0,High
1527678,1,Lucknow Super Giants,12,9,6,0,9.0,0,0,Medium
1527678,1,Lucknow Super Giants,13,3,6,1,3.0,1,0,Low
1527678,1,Lucknow Super Giants,14,13,6,0,13.0,0,0,High
1527678,1,Lucknow Super Giants,15,6,6,0,6.0,0,0,Medium
1527678,1,Lucknow Super Giants,16,8,6,0,8.0,0,0,Medium
1527678,1,Lucknow Super Giants,17,5,6,2,5.0,1,0,Low
1527678,1,Lucknow Super Giants,18,1,4,2,1.5,1,0,Low
1527678,2,Delhi Capitals,0,5,6,1,5.0,1,0,Low
1527678,2,Delhi Capitals,1,7,6,0,7.0,0,0,Medium
1527678,2,Delhi Capitals,2,7,6,0,7.0,0,0,Medium
1527678,2,Delhi Capitals,3,3,6,1,3.0,1,0,Low
1527678,2,Delhi Capitals,4,7,6,2,7.0,1,0,Medium
1527678,2,Delhi Capitals,5,3,6,0,3.0,0,0,Low
1527678,2,Delhi Capitals,6,7,6,0,7.0,0,0,Medium
1527678,2,Delhi Capitals,7,13,6,0,13.0,0,0,High
1527678,2,Delhi Capitals,8,8,6,0,8.0,0,0,Medium
1527678,2,Delhi Capitals,9,16,6,0,16.0,0,1,Very High
1527678,2,Delhi Capitals,10,6,6,0,6.0,0,0,Medium
1527678,2,Delhi Capitals,11,4,6,0,4.0,0,0,Low
1527678,2,Delhi Capitals,12,6,6,0,6.0,0,0,Medium
1527678,2,Delhi Capitals,13,13,6,0,13.0,0,0,High
1527678,2,Delhi Capitals,14,7,6,0,7.0,0,0,Medium
1527678,2,Delhi Capitals,15,13,6,0,13.0,0,0,High
1527678,2,Delhi Capitals,16,13,6,0,13.0,0,0,High
1527678,2,Delhi Capitals,17,6,1,0,36.0,0,0,Medium
1527679,1,Sunrisers Hyderabad,0,6,6,0,6.0,0,0,Medium
1527679,1,Sunrisers Hyderabad,1,16,6,0,16.0,0,1,Very High
1527679,1,Sunrisers Hyderabad,2,21,6,0,21.0,0,1,Very High
1527679,1,Sunrisers Hyderabad,3,3,6,0,3.0,0,0,Low
1527679,1,Sunrisers Hyderabad,4,25,6,0,25.0,0,1,Very High
1527679,1,Sunrisers Hyderabad,5,13,6,1,13.0,1,0,High
1527679,1,Sunrisers Hyderabad,6,14,6,0,14.0,0,0,High
1527679,1,Sunrisers Hyderabad,7,12,6,0,12.0,0,0,High
1527679,1,Sunrisers Hyderabad,8,8,6,2,8.0,1,0,Medium
1527679,1,Sunrisers Hyderabad,9,5,6,1,5.0,1,0,Low
1527679,1,Sunrisers Hyderabad,10,6,6,0,6.0,0,0,Medium
1527679,1,Sunrisers Hyderabad,11,11,6,0,11.0,0,0,High
1527679,1,Sunrisers Hyderabad,12,9,6,0,9.0,0,0,Medium
1527679,1,Sunrisers Hyderabad,13,6,6,0,6.0,0,0,Medium
1527679,1,Sunrisers Hyderabad,14,13,6,0,13.0,0,0,High
1527679,1,Sunrisers Hyderabad,15,7,6,0,7.0,0,0,Medium
