batting_team,batter1,batter2,partnerships,total_partnership_runs,average_partnership_runs,highest_partnership
Delhi Capitals,KL Rahul,N Rana,6,400,66.67,220
Punjab Kings,C Connolly,Priyansh Arya,1,182,182.0,182
Gujarat Titans,B Sai Sudharsan,Shubman Gill,15,904,60.27,167
Mumbai Indians,RD Rickelton,RG Sharma,8,458,57.25,148
Punjab Kings,P Simran Singh,SS Iyer,4,360,90.0,140
Lucknow Super Giants,JP Inglis,MR Marsh,4,350,87.5,135
Sunrisers Hyderabad,Abhishek Sharma,Ishan Kishan,7,338,48.29,132
Gujarat Titans,JC Buttler,Shubman Gill,10,433,43.3,128
Sunrisers Hyderabad,Abhishek Sharma,TM Head,12,686,57.17,127
Punjab Kings,P Simran Singh,Priyansh Arya,12,493,41.08,126
Rajasthan Royals,V Suryavanshi,YBK Jaiswal,16,748,46.75,125
Mumbai Indians,Naman Dhir,Q de Kock,2,137,68.5,122
Royal Challengers Bengaluru,PD Salt,V Kohli,5,227,45.4,120
Delhi Capitals,Sameer Rizvi,T Stubbs,3,243,81.0,119
Rajasthan Royals,D Ferreira,RA Jadeja,5,217,43.4,118
Kolkata Knight Riders,C Green,FH Allen,1,116,116.0,116
Sunrisers Hyderabad,H Klaasen,Nithish Kumar Reddy,9,474,52.67,116
Royal Challengers Bengaluru,D Padikkal,V Kohli,11,625,56.82,115
Chennai Super Kings,Kartik Sharma,SV Samson,2,157,78.5,114
Chennai Super Kings,A Mhatre,SV Samson,3,161,53.67,113
Sunrisers Hyderabad,H Klaasen,Ishan Kishan,8,544,68.0,112
Rajasthan Royals,Dhruv Jurel,V Suryavanshi,6,407,67.83,112
Delhi Capitals,KL Rahul,P Nissanka,9,378,42.0,110
Kolkata Knight Riders,A Raghuvanshi,C Green,6,232,38.67,108
Delhi Capitals,Abishek Porel,KL Rahul,3,155,51.67,105
Gujarat Titans,Shubman Gill,Washington Sundar,4,220,55.0,104
Rajasthan Royals,Dhruv Jurel,R Parag,6,263,43.83,102
Royal Challengers Bengaluru,RM Patidar,TH David,7,185,26.43,99
Chennai Super Kings,Kartik Sharma,RD Gaikwad,4,189,47.25,98
Gujarat Titans,B Sai Sudharsan,JC Buttler,7,334,47.71,97
Chennai Super Kings,A Mhatre,RD Gaikwad,3,151,50.33,96
Royal Challengers Bengaluru,D Padikkal,RM Patidar,5,218,43.6,95
Lucknow Super Giants,AA Kulkarni,MR Marsh,1,95,95.0,95
Royal Challengers Bengaluru,KH Pandya,RM Patidar,3,183,61.0,95
Kolkata Knight Riders,A Raghuvanshi,FH Allen,2,96,48.0,94
Lucknow Super Giants,MR Marsh,N Pooran,6,265,44.17,94
Mumbai Indians,RD Rickelton,WG Jacks,2,94,47.0,93
Kolkata Knight Riders,A Raghuvanshi,AM Rahane,9,343,38.11,84
Mumbai Indians,Naman Dhir,Tilak Varma,4,149,37.25,82
Punjab Kings,C Connolly,SS Iyer,8,189,23.62,82
Chennai Super Kings,RD Gaikwad,Urvil Patel,4,151,37.75,81
Mumbai Indians,HH Pandya,Tilak Varma,4,174,43.5,81
Punjab Kings,MP Stoinis,Suryansh Shedge,3,151,50.33,79
Delhi Capitals,DA Miller,Sameer Rizvi,2,88,44.0,78
Gujarat Titans,B Sai Sudharsan,Kumar Kushagra,1,78,78.0,78
Rajasthan Royals,D Ferreira,SB Dubey,2,117,58.5,77
Punjab Kings,C Connolly,P Simran Singh,9,307,34.11,76
Kolkata Knight Riders,A Raghuvanshi,RK Singh,4,200,50.0,76
Kolkata Knight Riders,AS Roy,RK Singh,2,84,42.0,76
Rajasthan Royals,RA Jadeja,V Suryavanshi,2,127,63.5,73
Mumbai Indians,SA Yadav,Tilak Varma,5,118,23.6,72
Kolkata Knight Riders,C Green,R Powell,3,129,43.0,70
Chennai Super Kings,D Brevis,Kartik Sharma,3,102,34.0,70
Kolkata Knight Riders,AM Rahane,FH Allen,10,324,32.4,69
Punjab Kings,N Wadhera,SS Iyer,4,184,46.0,69
Delhi Capitals,KL Rahul,T Stubbs,3,101,33.67,69
Gujarat Titans,Mohammed Siraj,R Tewatia,1,68,68.0,68
Punjab Kings,C Connolly,M Jansen,2,94,47.0,68
Mumbai Indians,MJ Santner,SE Rutherford,1,68,68.0,68
Lucknow Super Giants,AK Markram,Himmat Singh,1,68,68.0,68
Rajasthan Royals,Dhruv Jurel,RA Jadeja,3,126,42.0,68
Punjab Kings,MP Stoinis,Shashank Singh,3,134,44.67,67
Sunrisers Hyderabad,Abhishek Sharma,H Klaasen,3,85,28.33,66
Delhi Capitals,P Nissanka,Sameer Rizvi,3,76,25.33,66
Royal Challengers Bengaluru,TH David,VR Iyer,1,65,65.0,65
Lucknow Super Giants,JP Inglis,RR Pant,2,85,42.5,65
Kolkata Knight Riders,MK Pandey,R Powell,1,64,64.0,64
Punjab Kings,SS Iyer,Shashank Singh,2,90,45.0,64
Delhi Capitals,AR Patel,DA Miller,3,126,42.0,64
Royal Challengers Bengaluru,RM Patidar,V Kohli,7,217,31.0,64
Lucknow Super Giants,MR Marsh,RR Pant,7,136,19.43,64
Mumbai Indians,SA Yadav,WG Jacks,1,63,63.0,63
Kolkata Knight Riders,R Powell,Ramandeep Singh,1,63,63.0,63
Royal Challengers Bengaluru,V Kohli,VR Iyer,4,203,50.75,62
Chennai Super Kings,RD Gaikwad,SV Samson,13,336,25.85,62
Kolkata Knight Riders,RK Singh,SP Narine,1,62,62.0,62
Mumbai Indians,SE Rutherford,Tilak Varma,2,83,41.5,61
Sunrisers Hyderabad,Ishan Kishan,TM Head,6,209,34.83,61
Lucknow Super Giants,A Badoni,MR Marsh,4,107,26.75,61
Kolkata Knight Riders,AS Roy,C Green,1,60,60.0,60
Lucknow Super Giants,AK Markram,MD Choudhary,1,60,60.0,60
Chennai Super Kings,RD Gaikwad,S Dube,1,59,59.0,59
Gujarat Titans,B Sai Sudharsan,Washington Sundar,2,89,44.5,59
Chennai Super Kings,D Brevis,S Dube,3,121,40.33,59
Mumbai Indians,Naman Dhir,RD Rickelton,3,131,43.67,58
Lucknow Super Giants,AK Markram,RR Pant,7,170,24.29,57
Chennai Super Kings,J Overton,PR Veer,1,57,57.0,57
Mumbai Indians,Tilak Varma,WG Jacks,2,78,39.0,56
Mumbai Indians,HH Pandya,RD Rickelton,1,56,56.0,56
Sunrisers Hyderabad,Nithish Kumar Reddy,Salil Arora,1,56,56.0,56
Rajasthan Royals,Dhruv Jurel,YBK Jaiswal,7,168,24.0,56
Royal Challengers Bengaluru,D Padikkal,PD Salt,2,103,51.5,56
Royal Challengers Bengaluru,JG Bethell,KH Pandya,1,55,55.0,55
Lucknow Super Giants,Avesh Khan,MD Choudhary,2,62,31.0,54
Rajasthan Royals,R Parag,RA Jadeja,2,60,30.0,53
Mumbai Indians,RG Sharma,SA Yadav,3,69,23.0,53
Chennai Super Kings,D Brevis,SN Khan,1,51,51.0,51
Lucknow Super Giants,Himmat Singh,Shahbaz Ahmed,1,50,50.0,50
Lucknow Super Giants,A Badoni,JP Inglis,1,49,49.0,49
Rajasthan Royals,RA Jadeja,SB Dubey,2,73,36.5,49
Mumbai Indians,HH Pandya,SA Yadav,3,96,32.0,48
Delhi Capitals,Ashutosh Sharma,T Stubbs,3,78,26.0,48
Delhi Capitals,AR Patel,T Stubbs,5,120,24.0,47
Chennai Super Kings,Kartik Sharma,SN Khan,2,60,30.0,47
Delhi Capitals,KL Rahul,SU Parakh,3,68,22.67,47
Mumbai Indians,Naman Dhir,SE Rutherford,2,56,28.0,47
Punjab Kings,C Connolly,Suryansh Shedge,2,89,44.5,46
Chennai Super Kings,MW Short,SN Khan,2,65,32.5,46
Rajasthan Royals,Dhruv Jurel,MD Shanaka,2,59,29.5,45
Royal Challengers Bengaluru,KH Pandya,TH David,3,100,33.33,45
Royal Challengers Bengaluru,KH Pandya,R Shepherd,2,63,31.5,45
Chennai Super Kings,PR Veer,S Dube,5,153,30.6,45
Delhi Capitals,DA Miller,T Stubbs,3,103,34.33,45
Sunrisers Hyderabad,Ishan Kishan,Nithish Kumar Reddy,3,72,24.0,44
Lucknow Super Giants,MD Choudhary,N Pooran,1,44,44.0,44
Kolkata Knight Riders,AM Rahane,MK Pandey,2,82,41.0,44
Gujarat Titans,K Rabada,Rashid Khan,1,43,43.0,43
Kolkata Knight Riders,C Green,RK Singh,4,67,16.75,42
Mumbai Indians,C Bosch,DL Chahar,2,47,23.5,42
Lucknow Super Giants,AK Markram,MR Marsh,7,162,23.14,41
Royal Challengers Bengaluru,RM Patidar,VR Iyer,1,41,41.0,41
Royal Challengers Bengaluru,TH David,V Kohli,3,104,34.67,41
Mumbai Indians,HH Pandya,Q de Kock,1,41,41.0,41
Royal Challengers Bengaluru,JM Sharma,RM Patidar,5,108,21.6,40
Kolkata Knight Riders,AM Rahane,C Green,3,53,17.67,40
Mumbai Indians,Naman Dhir,SA Yadav,5,124,24.8,40
Chennai Super Kings,SN Khan,SV Samson,2,60,30.0,40
Punjab Kings,C Connolly,MP Stoinis,1,40,40.0,40
Chennai Super Kings,D Brevis,SV Samson,2,70,35.0,39
Delhi Capitals,AR Patel,Ashutosh Sharma,2,61,30.5,39
Gujarat Titans,JO Holder,Washington Sundar,5,126,25.2,39
Gujarat Titans,B Sai Sudharsan,N Sindhu,3,67,22.33,38
Punjab Kings,SS Iyer,Suryansh Shedge,3,72,24.0,38
Chennai Super Kings,S Dube,SN Khan,1,38,38.0,38
Delhi Capitals,AR Patel,KL Rahul,3,53,17.67,38
Rajasthan Royals,R Parag,YBK Jaiswal,5,87,17.4,37
Chennai Super Kings,S Dube,SV Samson,2,56,28.0,37
Lucknow Super Giants,Himmat Singh,MR Marsh,1,37,37.0,37
Royal Challengers Bengaluru,JM Sharma,TH David,3,53,17.67,37
Royal Challengers Bengaluru,JG Bethell,V Kohli,7,163,23.29,37
Punjab Kings,MP Stoinis,SS Iyer,3,50,16.67,37
Sunrisers Hyderabad,H Klaasen,S Arora,5,110,22.0,36
Delhi Capitals,DA Miller,V Nigam,1,36,36.0,36
Gujarat Titans,GD Phillips,JC Buttler,2,56,28.0,36
Royal Challengers Bengaluru,JM Sharma,KH Pandya,2,59,29.5,36
Delhi Capitals,Abishek Porel,DA Miller,1,35,35.0,35
Lucknow Super Giants,A Badoni,MD Choudhary,3,60,20.0,35
Royal Challengers Bengaluru,B Kumar,VR Iyer,2,64,32.0,35
Delhi Capitals,Ashutosh Sharma,M Tiwari,1,35,35.0,35
Chennai Super Kings,MW Short,S Dube,1,35,35.0,35
Gujarat Titans,JC Buttler,Washington Sundar,9,138,15.33,35
Rajasthan Royals,JC Archer,SB Dubey,1,35,35.0,35
Lucknow Super Giants,Abdul Samad,N Pooran,2,44,22.0,35
Lucknow Super Giants,Abdul Samad,JP Inglis,1,35,35.0,35
Delhi Capitals,Ashutosh Sharma,DA Miller,2,66,33.0,34
Mumbai Indians,RG Sharma,Tilak Varma,3,43,14.33,34
Lucknow Super Giants,Abdul Samad,RR Pant,1,34,34.0,34
Lucknow Super Giants,Abdul Samad,MD Choudhary,3,46,15.33,34
Punjab Kings,Vishnu Vinod,XC Bartlett,1,34,34.0,34
Punjab Kings,Azmatullah Omarzai,Shashank Singh,2,46,23.0,34
Chennai Super Kings,A Kamboj,J Overton,3,74,24.67,33
Sunrisers Hyderabad,Nithish Kumar Reddy,S Arora,1,33,33.0,33
Lucknow Super Giants,Abdul Samad,Shahbaz Ahmed,1,33,33.0,33
Kolkata Knight Riders,AM Rahane,R Powell,1,32,32.0,32
Mumbai Indians,RD Rickelton,SA Yadav,4,69,17.25,31
Lucknow Super Giants,A Badoni,RR Pant,2,56,28.0,31
Royal Challengers Bengaluru,R Shepherd,RM Patidar,1,31,31.0,31
