batter,innings,average_runs,highest_score,ducks,runs,balls_faced,strike_rate,fours,sixes,boundary_percentage,dot_ball_percentage,scores_30_plus,scores_50_plus,scores_100_plus,30_plus_percentage
V Suryavanshi,16,48.5,103,1,776,326,238.04,63,72,88.14,38.34,12,6,1,75.0
Shubman Gill,16,45.75,104,0,732,449,163.03,74,33,67.49,36.08,11,7,1,68.75
B Sai Sudharsan,17,42.47,100,1,722,454,159.03,75,30,66.48,36.56,9,9,1,52.94
V Kohli,16,42.19,105,2,675,406,166.26,73,25,65.48,30.54,9,6,1,56.25
H Klaasen,15,41.6,69,0,624,390,160.0,48,31,60.58,32.82,11,6,0,73.33
Ishan Kishan,15,40.13,91,2,602,330,182.42,60,32,71.76,30.3,8,6,0,53.33
KL Rahul,14,42.36,152,1,593,339,174.93,56,31,69.14,30.68,7,6,1,50.0
Abhishek Sharma,15,37.53,135,3,563,275,204.73,50,43,81.35,42.91,8,5,1,53.33
MR Marsh,13,43.31,111,0,563,343,164.14,51,36,74.6,39.94,8,4,1,61.54
JC Buttler,17,30.94,60,0,526,345,152.46,51,26,68.44,36.52,7,4,0,41.18
Dhruv Jurel,16,32.19,81,2,515,333,154.65,47,24,64.47,33.93,8,6,0,50.0
P Simran Singh,13,39.23,80,1,510,300,170.0,55,23,70.2,35.0,8,6,0,61.54
RM Patidar,14,35.79,93,0,501,259,193.44,30,42,74.25,32.43,7,5,0,50.0
SS Iyer,13,38.31,101,0,498,293,169.97,39,30,67.47,31.06,7,6,1,53.85
C Connolly,13,37.77,107,1,491,299,164.21,43,32,74.13,41.81,7,3,1,53.85
SV Samson,14,34.07,115,1,477,285,167.37,53,24,74.63,37.89,4,3,2,28.57
D Padikkal,15,30.93,61,0,464,275,168.73,49,24,73.28,34.18,9,3,0,60.0
RD Rickelton,12,37.33,123,0,448,240,186.67,31,38,78.57,37.92,6,3,1,50.0
YBK Jaiswal,16,26.69,77,0,427,280,152.5,52,18,74.0,45.36,6,3,0,37.5
A Raghuvanshi,12,35.17,82,0,422,287,147.04,40,19,64.93,39.37,6,5,0,50.0
TM Head,15,27.33,76,1,410,240,170.83,46,23,78.54,45.42,6,2,0,40.0
Washington Sundar,16,23.56,55,0,377,249,151.41,40,12,61.54,33.33,5,3,0,31.25
Priyansh Arya,13,28.0,93,2,364,171,212.87,27,32,82.42,39.18,5,3,0,38.46
Tilak Varma,14,25.64,101,1,359,246,145.93,30,17,61.84,35.37,4,3,1,28.57
FH Allen,11,31.73,100,0,349,163,214.11,33,28,85.96,38.65,3,2,1,27.27
RD Gaikwad,14,24.07,74,0,337,272,123.9,29,12,55.79,44.85,3,2,0,21.43
AM Rahane,14,23.93,67,2,335,248,135.08,25,18,62.09,40.73,4,2,0,28.57
C Green,14,23.0,79,1,322,220,146.36,22,17,59.01,35.45,6,2,0,42.86
Naman Dhir,14,22.71,57,2,318,216,147.22,31,13,63.52,32.41,4,2,0,28.57
D Ferreira,13,24.38,69,1,317,177,179.1,26,23,76.34,38.42,5,2,0,38.46
RR Pant,13,24.08,68,1,313,227,137.89,30,11,59.42,37.44,5,1,0,38.46
R Parag,14,22.07,90,0,309,195,158.46,24,21,71.84,42.05,2,2,0,14.29
TH David,15,20.33,70,1,305,159,191.82,22,23,74.1,35.22,3,1,0,20.0
Nithish Kumar Reddy,13,23.23,56,1,302,176,171.59,19,21,66.89,31.82,4,1,0,30.77
RK Singh,11,27.18,87,1,299,198,151.01,28,11,59.53,35.35,5,2,0,45.45
Kartik Sharma,11,26.82,71,0,295,216,136.57,24,16,65.08,40.74,4,2,0,36.36
RG Sharma,9,31.44,84,1,283,179,158.1,21,21,74.2,41.9,3,2,0,33.33
P Nissanka,10,27.8,62,0,278,173,160.69,33,12,73.38,41.04,5,2,0,50.0
T Stubbs,13,21.15,60,1,275,216,127.31,18,9,45.82,32.87,4,2,0,30.77
S Dube,12,22.5,47,0,270,170,158.82,24,15,68.89,44.71,3,0,0,25.0
SA Yadav,13,20.77,60,2,270,183,147.54,28,10,63.7,37.7,4,2,0,30.77
JP Inglis,5,53.2,85,0,266,142,187.32,32,12,75.19,35.21,4,3,0,80.0
RA Jadeja,11,24.18,45,0,266,196,135.71,24,5,47.37,35.2,4,0,0,36.36
Sameer Rizvi,9,28.0,90,2,252,171,147.37,15,17,64.29,40.35,4,2,0,44.44
N Pooran,14,16.71,63,0,234,183,127.87,11,19,67.52,54.1,3,1,0,21.43
AK Markram,11,21.0,45,1,231,166,139.16,20,11,63.2,36.14,5,0,0,45.45
KH Pandya,9,25.11,73,0,226,153,147.71,20,11,64.6,39.87,3,1,0,33.33
N Rana,9,25.0,91,1,225,149,151.01,27,10,74.67,46.31,3,2,0,33.33
MP Stoinis,9,24.0,62,1,216,119,181.51,23,11,73.15,37.82,3,1,0,33.33
A Badoni,10,21.5,54,3,215,141,152.48,23,9,67.91,38.3,4,1,0,40.0
DA Miller,10,21.1,51,1,211,137,154.01,15,14,68.25,39.42,2,1,0,20.0
VR Iyer,6,34.83,73,0,209,112,186.61,21,13,77.51,37.5,3,1,0,50.0
HH Pandya,10,20.6,40,0,206,149,138.26,21,7,61.17,36.91,3,0,0,30.0
PD Salt,6,33.67,78,1,202,120,168.33,16,11,64.36,34.17,3,2,0,50.0
A Mhatre,6,33.5,73,1,201,112,179.46,20,12,75.62,39.29,4,2,0,66.67
R Powell,7,27.14,40,0,190,140,135.71,16,10,65.26,43.57,3,0,0,42.86
R Tewatia,15,12.67,68,1,190,131,145.04,20,8,67.37,44.27,1,1,0,6.67
AR Patel,11,15.73,56,2,173,131,132.06,16,6,57.8,44.27,3,1,0,27.27
Ashutosh Sharma,8,21.38,39,0,171,92,185.87,15,12,77.19,41.3,1,0,0,12.5
MD Choudhary,10,17.0,54,0,170,120,141.67,11,12,68.24,41.67,2,1,0,20.0
SN Khan,7,23.0,50,1,161,94,171.28,23,6,79.5,44.68,2,1,0,28.57
Suryansh Shedge,7,22.57,57,0,158,90,175.56,9,12,68.35,30.0,2,1,0,28.57
D Brevis,8,18.88,44,1,151,118,127.97,8,10,60.93,45.76,2,0,0,25.0
WG Jacks,7,19.86,46,0,139,75,185.33,12,9,73.38,33.33,2,0,0,28.57
J Overton,6,22.67,43,0,136,85,160.0,13,6,64.71,36.47,2,0,0,33.33
Q de Kock,3,44.0,112,0,132,81,162.96,9,9,68.18,37.04,1,1,1,33.33
Shashank Singh,9,14.67,56,1,132,70,188.57,11,8,69.7,34.29,1,1,0,11.11
Urvil Patel,7,18.43,65,1,129,64,201.56,6,14,83.72,48.44,1,1,0,14.29
SE Rutherford,7,17.57,71,1,123,74,166.22,5,12,74.8,51.35,1,1,0,14.29
S Arora,10,12.1,30,1,121,77,157.14,9,9,74.38,42.86,1,0,0,10.0
JM Sharma,12,9.67,23,1,116,95,122.11,9,6,62.07,46.32,0,0,0,0.0
Abdul Samad,7,16.57,37,1,116,88,131.82,10,5,60.34,43.18,2,0,0,28.57
Abishek Porel,4,27.0,51,0,108,88,122.73,15,1,61.11,46.59,2,1,0,50.0
JG Bethell,7,13.71,27,0,96,77,124.68,12,3,68.75,48.05,0,0,0,0.0
Himmat Singh,5,18.4,40,0,92,65,141.54,5,5,54.35,43.08,1,0,0,20.0
PR Veer,5,18.0,43,0,90,67,134.33,10,3,64.44,44.78,1,0,0,20.0
R Shepherd,7,11.86,23,0,83,65,127.69,6,5,65.06,46.15,0,0,0,0.0
Ramandeep Singh,6,13.67,35,0,82,68,120.59,8,2,53.66,38.24,1,0,0,16.67
SB Dubey,6,13.5,31,0,81,58,139.66,8,3,61.73,39.66,1,0,0,16.67
Aniket Verma,8,9.88,43,0,79,54,146.3,6,5,68.35,42.59,1,0,0,12.5
SO Hetmyer,7,11.14,22,1,78,69,113.04,5,3,48.72,49.28,0,0,0,0.0
MK Pandey,2,35.0,45,0,70,49,142.86,8,2,62.86,34.69,1,0,0,50.0
GD Phillips,5,13.4,25,0,67,54,124.07,4,2,41.79,31.48,0,0,0,0.0
N Wadhera,6,10.83,25,1,65,57,114.04,4,4,61.54,50.88,0,0,0,0.0
JO Holder,7,9.29,23,1,65,52,125.0,3,3,46.15,40.38,0,0,0,0.0
JC Archer,10,6.4,32,0,64,46,139.13,4,4,62.5,45.65,1,0,0,10.0
MD Shanaka,5,12.6,29,0,63,46,136.96,3,4,57.14,43.48,0,0,0,0.0
N Sindhu,5,12.6,22,0,63,50,126.0,7,2,63.49,46.0,0,0,0,0.0
MW Short,3,20.0,34,0,60,50,120.0,6,1,50.0,44.0,1,0,0,33.33
A Kamboj,4,14.5,19,0,58,36,161.11,3,4,62.07,33.33,0,0,0,0.0
