batter,scores_30_plus,scores_50_plus,scores_100_plus
A Badoni,4,1,0
A Kamboj,0,0,0
A Mhatre,4,2,0
A Nortje,0,0,0
A Raghuvanshi,6,5,0
AA Kulkarni,0,0,0
AF Milne,0,0,0
AJ Hosein,0,0,0
AK Markram,5,0,0
AM Ghazanfar,0,0,0
AM Rahane,4,2,0
AR Patel,3,1,0
AS Roy,0,0,0
Abdul Samad,2,0,0
Abhishek Sharma,8,5,1
Abishek Porel,2,1,0
Akshat Raghuwanshi,0,0,0
Aniket Verma,1,0,0
Arjun Tendulkar,0,0,0
Arshad Khan,0,0,0
Arshdeep Singh,0,0,0
Ashok Sharma,0,0,0
Ashutosh Sharma,1,0,0
Ashwani Kumar,0,0,0
Auqib Nabi,0,0,0
Avesh Khan,0,0,0
Azmatullah Omarzai,1,0,0
B Kumar,0,0,0
B Sai Sudharsan,9,9,1
Brijesh Sharma,0,0,0
C Bosch,1,0,0
C Connolly,7,3,1
C Green,6,2,0
CV Varun,0,0,0
D Brevis,2,0,0
D Ferreira,5,2,0
D Padikkal,9,3,0
DA Miller,2,1,0
DA Payne,0,0,0
DL Chahar,0,0,0
DS Rathi,0,0,0
DV Malewar,0,0,0
Dhruv Jurel,8,6,0
E Malinga,0,0,0
FH Allen,3,2,1
GD Phillips,0,0,0
GF Linde,0,0,0
H Klaasen,11,6,0
HH Pandya,3,0,0
HV Patel,0,0,0
Harpreet Brar,0,0,0
Harsh Dubey,0,0,0
Himmat Singh,1,0,0
Ishan Kishan,8,6,0
J Overton,2,0,0
JC Archer,1,0,0
JC Buttler,7,4,0
JD Unadkat,0,0,0
JG Bethell,0,0,0
JJ Bumrah,0,0,0
JM Sharma,0,0,0
JO Holder,0,0,0
JP Inglis,4,3,0
JR Hazlewood,0,0,0
K Rabada,0,0,0
KA Jamieson,0,0,0
KH Pandya,3,1,0
KK Nair,0,0,0
KL Rahul,7,6,1
Kartik Sharma,4,2,0
Kartik Tyagi,0,0,0
Krish Bhagat,0,0,0
Kuldeep Yadav,0,0,0
Kumar Kushagra,0,0,0
L Ngidi,0,0,0
LG Pretorius,0,0,0
LS Livingstone,0,0,0
M Jansen,0,0,0
M Prasidh Krishna,0,0,0
M Shahrukh Khan,0,0,0
M Tiwari,0,0,0
MA Starc,0,0,0
MD Choudhary,2,1,0
MD Shanaka,0,0,0
MJ Henry,0,0,0
MJ Santner,0,0,0
MK Pandey,1,0,0
MP Stoinis,3,1,0
MP Yadav,0,0,0
MR Marsh,8,4,1
MW Short,1,0,0
Mohammed Shami,0,0,0
Mohammed Siraj,0,0,0
Mohsin Khan,0,0,0
Mukesh Choudhary,0,0,0
N Burger,0,0,0
N Pooran,3,1,0
N Rana,3,2,0
N Sindhu,0,0,0
N Wadhera,0,0,0
Naman Dhir,4,2,0
Nithish Kumar Reddy,4,1,0
Noor Ahmad,0,0,0
P Nissanka,5,2,0
P Simran Singh,8,6,0
PD Salt,3,2,0
PJ Cummins,0,0,0
PP Hinge,0,0,0
PR Veer,1,0,0
PVD Chameera,0,0,0
Prince Yadav,0,0,0
Priyansh Arya,5,3,0
Q de Kock,1,1,1
R Minz,0,0,0
R Parag,2,2,0
R Powell,3,0,0
R Shepherd,0,0,0
R Smaran,0,0,0
R Tewatia,1,1,0
RA Bawa,0,0,0
RA Jadeja,4,0,0
RD Gaikwad,3,2,0
RD Rickelton,6,3,1
RG Sharma,3,2,0
RK Singh,5,2,0
RM Patidar,7,5,0
RR Pant,5,1,0
Ramandeep Singh,1,0,0
Rashid Khan,0,0,0
Rasikh Salam,0,0,0
Ravi Bishnoi,0,0,0
Ravi Singh,0,0,0
S Arora,1,0,0
S Dube,3,0,0
SA Yadav,4,2,0
SB Dubey,1,0,0
SE Rutherford,1,1,0
SH Johnson,0,0,0
SN Khan,2,1,0
SN Thakur,0,0,0
SO Hetmyer,0,0,0
SP Narine,0,0,0
SR Dubey,0,0,0
SS Iyer,7,6,1
SS Mishra,0,0,0
SU Parakh,0,0,0
SV Samson,4,3,2
Sakib Hussain,0,0,0
Salil Arora,1,0,0
Sameer Rizvi,4,2,0
Shahbaz Ahmed,1,0,0
Shashank Singh,1,1,0
Shivang Kumar,0,0,0
Shubman Gill,11,7,1
Suryansh Shedge,2,1,0
T Dahiya,0,0,0
T Natarajan,0,0,0
T Stubbs,4,2,0
TA Boult,0,0,0
TH David,3,1,0
TL Seifert,0,0,0
TM Head,6,2,0
TU Deshpande,0,0,0
Tilak Varma,4,3,1
Urvil Patel,1,1,0
V Kohli,9,6,1
V Nigam,0,0,0
V Suryavanshi,12,6,1
VG Arora,0,0,0
VR Iyer,3,1,0
Vijaykumar Vyshak,0,0,0
Vishnu Vinod,0,0,0
WG Jacks,2,0,0
Washington Sundar,5,3,0
XC Bartlett,0,0,0
YBK Jaiswal,6,3,0
