venue,city,matches_played,average_first_innings_score,average_second_innings_score,average_match_runs,highest_match_score,chases_won,matches_defended,chase_success_percentage
"Arun Jaitley Stadium, Delhi",Delhi,7,171.57,174.0,345.57,529,6,1,85.71
"Barsapara Cricket Stadium, Guwahati",Guwahati,3,159.33,151.0,310.33,403,2,1,66.67
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,7,173.0,167.86,340.86,412,4,2,66.67
"Eden Gardens, Kolkata",Kolkata,7,169.14,172.17,316.71,465,3,3,50.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,4,221.5,195.5,417.0,426,2,2,50.0
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,5,195.4,188.8,384.2,457,4,1,80.0
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,7,187.57,181.43,369.0,419,5,2,71.43
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,6,219.0,205.17,424.17,454,4,2,66.67
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,8,182.38,149.62,332.0,414,4,4,50.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,7,209.0,181.29,390.29,455,2,5,28.57
"Sawai Mansingh Stadium, Jaipur",Jaipur,4,225.5,208.0,433.5,457,3,1,75.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,2,179.0,180.5,359.5,386,2,0,100.0
"Wankhede Stadium, Mumbai",Mumbai,7,219.71,200.14,419.86,492,4,3,57.14
